,LTV_M,Purpose_M,Coop_M,Product_M,Occup_M,Back_M,BoCreditScor_M,PropType_M,Year,Bank,MortDate,Assigned_ID,Portfolio_Worthy
0,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092102,0
1,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092103,0
2,0.13,1.0,1.0,0.879,1.0,1.431,0.743,1.0,2017,Atlanta,2016,2092104,1
3,0.13,1.61,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2016,2092105,0
4,0.13,1.61,1.0,0.879,1.0,2.02,2.85,1.0,2017,Atlanta,2016,2092106,1
5,0.13,1.61,1.0,0.879,1.0,1.431,2.85,1.0,2017,Atlanta,2016,2092107,0
6,0.13,1.61,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2016,2092108,1
7,0.13,1.61,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2016,2092109,1
8,0.13,1.61,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2016,2092110,1
9,0.13,1.0,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2016,2092111,1
10,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092112,0
11,0.13,1.61,1.0,0.879,1.0,2.345,0.743,1.0,2017,Atlanta,2016,2092113,1
12,0.13,1.0,1.0,0.879,1.0,2.345,2.85,1.0,2017,Atlanta,2016,2092114,1
13,0.13,1.0,1.0,0.879,1.0,1.431,0.743,1.0,2017,Atlanta,2016,2092115,1
14,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092116,0
15,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2016,2092117,1
16,0.13,1.0,1.0,0.879,1.0,1.0,0.743,1.146,2017,Atlanta,2016,2092118,1
17,0.13,1.61,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2016,2092119,1
18,0.13,1.61,1.0,0.879,1.0,1.431,0.743,1.0,2017,Atlanta,2016,2092120,0
19,0.13,1.0,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2016,2092121,1
20,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092122,0
21,0.13,1.61,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2016,2092123,1
22,0.13,1.61,1.0,0.879,1.0,1.0,4.81,1.0,2017,Atlanta,2016,2092124,0
23,0.13,1.0,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2016,2092125,1
24,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2016,2092126,1
25,0.127,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092127,0
26,0.13,1.61,1.0,0.879,1.0,2.345,0.743,1.146,2017,Atlanta,2016,2092128,1
