,IncRat,LTV,Purpose,Coop,Product,FedGuar,Occup,Front,Back,BoCreditScor,PropType,UPB,Portfolio_Worthy
0,1.5112,0.84,2,2,1,2,1,0.2174,0.3683,4,7,0.748225352112676,1
1,0.7347,0.76,2,2,1,2,1,0.185,0.2385,4,1,0.2038672032193159,1
2,0.8536,0.8,1,2,1,2,1,0.2084,0.3817,4,1,0.22906438631790743,1
3,1.4262,0.8,1,2,1,2,1,0.1481,0.317,4,1,0.3029859154929577,1
4,2.0272,0.89,1,2,1,2,1,0.2072,0.3184,4,7,0.7746277665995975,1
5,1.2751,0.9,1,2,1,2,1,0.23,0.4718,5,1,0.7904949698189134,1
6,1.5711,0.79,2,2,1,2,1,0.1381,0.303,5,7,0.3081287726358149,1
7,1.7413,0.81,2,2,1,2,1,0.1524,0.2381,5,7,0.5192474849094567,1
8,2.1564,0.95,2,2,1,2,1,0.1346,0.3383,3,1,0.6026498993963783,0
9,2.021,0.95,2,2,1,2,1,0.1584,0.1646,5,7,0.6270160965794768,1
10,3.4009,0.8,1,2,1,2,1,0.1341,0.3164,4,11,0.7870623742454728,1
11,1.1218,0.8,1,2,1,2,1,0.1916,0.2336,5,1,0.3640402414486921,1
12,1.6757,0.8,1,2,1,2,1,0.1927,0.2901,5,7,0.4582696177062374,1
13,2.1977,0.93,2,2,1,2,1,0.0961,0.3596,4,1,0.38888732394366193,1
14,1.4582,0.8,1,2,1,2,1,0.2609,0.4408,3,7,0.75538430583501,1
15,1.7529,0.8,1,2,1,2,1,0.2252,0.3555,4,7,0.6604889336016097,1
16,1.6922,0.8,1,2,1,2,1,0.1888,0.3949,5,7,0.3515271629778672,1
17,1.8357,0.85,2,2,1,2,1,0.1296,0.3198,5,1,0.2516378269617706,1
18,2.2430000000000003,0.54,2,2,1,2,1,0.1597,0.2759,5,7,0.3273903420523139,1
19,1.2582,0.8,1,2,1,2,1,0.2211,0.2932,5,11,0.37696378269617703,1
20,1.6663,0.8,2,2,1,2,1,0.1201,0.2953,4,1,0.22119919517102615,1
21,1.161,0.85,2,2,1,2,1,0.2242,0.3687,5,11,0.34470623742454726,1
22,2.3087,0.83,2,2,1,2,1,0.1065,0.2277,4,1,0.282112676056338,1
23,2.1488,0.72,2,2,1,2,1,0.1907,0.2812,4,1,0.37671227364185106,1
24,0.6886,0.8,1,2,1,2,1,0.1835,0.4047,4,1,0.0870281690140845,1
25,2.505,0.96,2,2,1,2,1,0.1836,0.2521,5,1,0.774066398390342,1
26,2.0719,0.73,2,2,1,2,1,0.1132,0.2988,3,1,0.2375110663983903,0
27,1.9391,0.67,2,2,1,2,1,0.0663,0.2041,5,1,0.13231388329979876,1
28,1.3705,0.67,1,2,1,2,1,0.2285,0.3839,5,7,0.7089014084507042,1
29,1.5915,0.93,2,2,1,2,1,0.16,0.1881,5,7,0.3218309859154929,1
30,1.9657,0.64,2,2,1,2,1,0.1544,0.3984,3,1,0.3752515090543259,0
31,1.9657,0.78,2,2,1,2,1,0.1393,0.174,4,1,0.2872635814889336,1
32,0.5779,0.67,2,2,1,2,1,0.2684,0.2954,2,1,0.40854124748490944,0
33,2.01,0.8,2,2,1,2,1,0.1487,0.1853,5,7,0.47836217303822937,1
34,2.1278,0.71,1,2,1,2,1,0.1856,0.4766,3,7,0.811871227364185,1
35,2.0340000000000003,0.9,1,2,1,2,1,0.1695,0.3549,5,1,0.6228350100603621,1
36,0.73,0.8,1,2,1,2,1,0.3088,0.426,4,1,0.5583138832997988,1
